sk_day_no,day,sk_day_no,fdow,sk_fdow_no,ldow,sk_ldow_no,lyr_ldow,sk_lyr_ldow_no,ssn_start_ldow,sk_ssn_start_ldow_no,log_yr_start_ldow,sk_log_yr_start_ldow_no,fin_yr_start_ldow,sk_fin_yr_start_ldow_no,lyr_ssn_start_ldow,sk_lyr_ssn_start_ldow_no,lyr_log_yr_start_ldow,sk_lyr_log_yr_start_ldow_no,lyr_fin_yr_start_ldow,sk_lyr_fin_yr_start_ldow_no,fdom,sk_fdom_no,plan_fdom,sk_plan_fdom_no,julian_ldom,sk_julian_ldom_no,ldom,sk_ldom_no,plan_ldom,sk_plan_ldom_no,lyr_ldom,sk_lyr_ldom_no,fin_wk,julian_wk,log_wk,plan_wk,fin_mnth,log_mnth,plan_mnth,fin_yr,log_yr,plan_yr,log_yr_desc,fin_no_wk_mnth,log_no_wk_mnth,plan_no_wk_mnth,fin_mnth_wk_no,log_mnth_wk_no,plan_mnth_wk_no,quarter,quarter_desc,first_day_of_season_ind,first_day_of_season_desc,ssn_start_ldow_ind,ssn_start_ldow_desc,yr_start_ldow_ind,yr_start_ldow_desc,season_code,season_desc,fin_quarter_code,fin_quarter_desc,fin_season_code,fin_season_desc,fin_yr_code,fin_yr_desc,lyr_plan_wk_code,lyr_plan_wk_desc,plan_quarter_code,plan_quarter_desc,plan_wk_code,plan_wk_desc,plan_yr_code,plan_yr_desc,plan_mnth_code,plan_mnth_desc,julian_mnth,julian_yr,julian_no_wk_mnth,julian_mnth_wk_no
20110626,26/06/2011,20110626,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,30/06/2011,20110630,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,26,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,6,2011,4,5
20110627,27/06/2011,20110627,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,30/06/2011,20110630,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,26,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,6,2011,4,5
20110628,28/06/2011,20110628,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,30/06/2011,20110630,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,26,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,6,2011,4,5
20110629,29/06/2011,20110629,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,30/06/2011,20110630,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,26,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,6,2011,5,5
20110630,30/06/2011,20110630,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,30/06/2011,20110630,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,26,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,6,2011,5,5
20110701,01/07/2011,20110701,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,26,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
20110702,02/07/2011,20110702,26/06/2011,20110626,02/07/2011,20110702,03/07/2010,20100703,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,1,27,1,1,1,7,1,2012,2012,2011,Year 12,1,1,1,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK01,Y11WK01: 27-Jun-2010 - 03-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK01,Year 12 Week 01,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
20110703,03/07/2011,20110703,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,27,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
20110704,04/07/2011,20110704,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,27,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
20110705,05/07/2011,20110705,03/07/2011,20110703,09/07/2011,20110709,10/07/2010,20100710,29/01/2011,20110129,02/07/2011,20110702,02/07/2011,20110702,30/01/2010,20100130,03/07/2010,20100703,03/07/2010,20100703,26/06/2011,20110626,26/06/2011,20110626,31/07/2011,20110731,30/07/2011,20110730,23/07/2011,20110723,31/07/2010,20100731,2,27,2,2,1,7,1,2012,2012,2011,Year 12,2,2,2,5,4,4,4,Winter 11 4th QUARTER,N,No,N,No,N,No,W11,Winter11,FINS11Q1,Fin Summer 11 1st Quarter,FINS11,Fin Summer11,FINY12,Fin Year 12,Y11WK02,Y11WK02: 04-Jul-2010 - 10-Jul-2010,W11Q4,Winter 11 4th QUARTER,Y12WK02,Year 12 Week 02,Y11,Year 11,11-Jul,11-Jul,7,2011,1,5
